start,accurate,not accurate,epsilon,percentage
1,109.54907576059234,109.54451150103323,0.004564259559117545,0.004166406268084124
10000001,10005999.20107937,346410.1788342831,9659589.022245087,96.53797514997888
20000001,20006000.100269943,489897.9608040842,19516102.13946586,97.55124483480597
30000001,30006000.40011999,600000.0099999999,29406000.39011999,98.00039991335332
40000001,40006000.5500675,692820.3316878049,39313180.21837969,98.26820896325104
50000001,50006000.6400432,774596.67698745,49231403.96305575,98.45099254674813
60000001,60006000.70003,848528.1444949248,59157472.55553507,98.58592784955505
70000001,70006000.74287918,916515.1455377047,69089485.59734148,98.69080487985035
80000001,80006000.77501687,979795.9032369956,79026204.87177987,98.7753469817942
90000001,90006000.80001333,1039230.490314829,88966770.3096985,98.84537644037322
100000001,100006000.8200108,1095445.1204875577,98910555.69952324,98.904620611258
110000001,110006000.83637255,1148912.5345299353,108857088.30184262,98.955591035221
120000001,120006000.85000749,1200000.005,118806000.8450075,99.00005000041637
130000001,130006000.86154485,1248999.6044835243,128757001.25706132,99.0392754209756
140000001,140006000.8714341,1296148.1443106725,138709852.7271234,99.07421957898724
150000001,150006000.8800048,1341640.7909720098,148664360.08903277,99.1056085869223
160000001,160006000.88750422,1385640.650385229,158620360.237119,99.13400707304757
170000001,170006000.89412138,1428285.6899094102,168577715.20421198,99.15986160347427
180000001,180006000.90000334,1469693.8497523898,178536307.05025095,99.18353063653204
190000001,190006000.90526614,1509966.891027747,188496034.0142384,99.20530568306599
200000001,200006000.9100027,1549193.34235595,198456807.56764677,99.22542656954927
210000001,210006000.91428816,1587450.790418399,208418550.12386978,99.24409265282553
220000001,220006000.91818404,1624807.6846199369,218381193.2335641,99.2614711972224
230000001,230006000.92174116,1661324.7761951906,228344676.14554596,99.2777037253213
240000001,240006000.92500186,1697056.278383248,238308944.6466186,99.29291089729311
250000001,250006000.92800173,1732050.8110329788,248273950.11696875,99.30719630544716
260000001,260006000.9307708,1766352.1766624004,258239648.75410843,99.32064945795898
270000001,270006000.9333348,1800000.0033333334,268206000.9300015,99.33334814888882
280000001,280006000.9357157,1833030.2812556045,278172970.6544601,99.34536035830303
290000001,290006000.9379323,1865475.8138341005,288140525.12409824,99.35674578877651
300000001,300006000.9400012,1897366.5992633053,298108634.3407379,99.36755711775153
310000001,310006000.9419366,1928730.1553094462,308077270.7866272,99.37784102583528
320000001,320006000.94375104,1959591.7972884045,318046409.1464626,99.38763904692122
330000001,330006000.94545555,1989974.8772283534,328016026.0682272,99.39698827550797
340000001,340006000.94705975,2019900.9906428582,337986099.9564169,99.40592195872526
350000001,350006000.94857234,2049390.15611962,347956610.7924527,99.41446999463854
360000001,360006000.9500008,2078460.971969404,357927539.9780314,99.42265935387613
370000001,370006000.9513521,2107130.753418022,367898870.1979341,99.43051443814419
380000001,380006000.9526323,2135415.6532160197,377870585.2994163,99.43805738649843
390000001,390006000.9538469,2163330.7680518944,387842670.18579495,99.44530833813813
400000001,400006000.9550007,2190890.2327592773,397815110.7222414,99.45228565883296
410000001,410006000.9560982,2218107.303986892,407787893.6521113,99.45900613678471
420000001,420006000.9571435,2244994.4347369773,417761006.5224065,99.46548515268331
430000001,430006000.95814013,2271563.3409614624,427734437.6171787,99.47173682788149
440000001,440006000.9590915,2297825.0612263763,437708175.8978651,99.47777415393932
